drugbank_id,groups,name,type
DB00001,['approved'],Lepirudin,other
DB00002,['approved'],Cetuximab,antibody
DB00003,['approved'],Dornase alfa,other
DB00004,"['approved', 'investigational']",Denileukin diftitox,other
DB00005,"['approved', 'investigational']",Etanercept,antibody
DB00006,"['approved', 'investigational']",Bivalirudin,small molecule
DB00007,"['approved', 'investigational']",Leuprolide,small molecule
DB00008,"['approved', 'investigational']",Peginterferon alfa-2a,other
DB00009,['approved'],Alteplase,other
DB00010,"['approved', 'withdrawn']",Sermorelin,other
DB00011,"['approved', 'investigational']",Interferon alfa-n1,other
DB00012,"['approved', 'investigational']",Darbepoetin alfa,other
DB00013,"['approved', 'investigational', 'withdrawn']",Urokinase,other
DB00014,['approved'],Goserelin,small molecule
DB00015,"['approved', 'investigational']",Reteplase,other
DB00016,['approved'],Erythropoietin,other
DB00017,"['approved', 'investigational']",Salmon calcitonin,other
DB00018,"['approved', 'investigational']",Interferon alfa-n3,other
DB00019,['approved'],Pegfilgrastim,other
DB00020,"['approved', 'investigational']",Sargramostim,other
DB00022,['approved'],Peginterferon alfa-2b,other
DB00023,"['approved', 'investigational']",Asparaginase Escherichia coli,other
DB00024,"['approved', 'vet_approved']",Thyrotropin alfa,other
DB00025,"['approved', 'investigational']","Antihemophilic factor, human recombinant",other
DB00026,['approved'],Anakinra,other
DB00027,['approved'],Gramicidin D,small molecule
DB00028,"['approved', 'investigational']",Human immunoglobulin G,antibody
DB00029,['approved'],Anistreplase,other
DB00030,"['approved', 'investigational']",Insulin human,other
DB00031,['approved'],Tenecteplase,other
DB00032,['approved'],Menotropins,other
DB00033,"['approved', 'investigational']",Interferon gamma-1b,other
DB00034,"['approved', 'investigational']","Interferon alfa-2a, Recombinant",other
DB00035,['approved'],Desmopressin,small molecule
DB00036,['approved'],Coagulation factor VIIa Recombinant Human,other
DB00038,"['approved', 'investigational']",Oprelvekin,other
DB00039,['approved'],Palifermin,other
DB00040,['approved'],Glucagon,other
DB00041,['approved'],Aldesleukin,other
DB00042,"['approved', 'investigational']",Botulinum Toxin Type B,other
DB00043,"['approved', 'investigational']",Omalizumab,antibody
DB00044,['approved'],Lutropin alfa,other
DB00045,"['approved', 'withdrawn']",Lyme disease vaccine (recombinant OspA),other
DB00046,['approved'],Insulin lispro,other
DB00047,['approved'],Insulin glargine,other
DB00048,"['approved', 'investigational']",Collagenase clostridium histolyticum,other
DB00049,"['approved', 'investigational']",Rasburicase,other
DB00050,"['approved', 'investigational']",Cetrorelix,small molecule
DB00051,"['approved', 'experimental']",Adalimumab,antibody
DB00052,"['approved', 'investigational']",Somatotropin,other
DB00053,['approved'],Imiglucerase,other
DB00054,['approved'],Abciximab,antibody
DB00055,"['approved', 'investigational', 'withdrawn']",Drotrecogin alfa,other
DB00056,"['approved', 'investigational']",Gemtuzumab ozogamicin,antibody
DB00057,"['experimental', 'withdrawn']",Indium In-111 satumomab pendetide,antibody
DB00058,['approved'],Alpha-1-proteinase inhibitor,other
DB00059,"['approved', 'investigational']",Pegaspargase,other
DB00060,"['approved', 'investigational']",Interferon beta-1a,other
DB00061,['approved'],Pegademase,other
DB00062,['approved'],Albumin human,other
DB00063,"['approved', 'investigational']",Eptifibatide,other
DB00065,['approved'],Infliximab,antibody
DB00066,['approved'],Follitropin,other
DB00067,['approved'],Vasopressin,small molecule
DB00068,['approved'],Interferon beta-1b,other
DB00069,"['approved', 'investigational']",Interferon alfacon-1,other
DB00070,"['approved', 'investigational']",Hyaluronidase (ovine),other
DB00071,['approved'],Insulin pork,other
DB00072,"['approved', 'investigational']",Trastuzumab,antibody
DB00073,['approved'],Rituximab,antibody
DB00074,"['approved', 'investigational']",Basiliximab,antibody
DB00075,"['approved', 'investigational']",Muromonab,antibody
DB00076,['approved'],Digoxin Immune Fab (Ovine),other
DB00078,"['approved', 'investigational']",Ibritumomab tiuxetan,antibody
DB00080,"['approved', 'investigational']",Daptomycin,small molecule
DB00081,"['approved', 'investigational']",Tositumomab,antibody
DB00082,['approved'],Pegvisomant,other
DB00083,"['approved', 'investigational']",Botulinum toxin type A,other
DB00085,"['approved', 'investigational']",Pancrelipase,other
DB00086,"['approved', 'investigational']",Streptokinase,other
DB00087,"['approved', 'investigational']",Alemtuzumab,antibody
DB00088,"['approved', 'investigational']",Alglucerase,other
DB00089,['approved'],Capromab pendetide,antibody
DB00090,['approved'],Laronidase,other
DB00091,"['approved', 'investigational', 'vet_approved']",Cyclosporine,small molecule
DB00092,"['approved', 'investigational', 'withdrawn']",Alefacept,antibody
DB00093,['experimental'],Felypressin,small molecule
DB00094,"['approved', 'vet_approved']",Urofollitropin,other
DB00095,"['approved', 'investigational']",Efalizumab,antibody
DB00097,['approved'],Choriogonadotropin alfa,other
DB00098,['approved'],Antithymocyte immunoglobulin (rabbit),antibody
DB00099,['approved'],Filgrastim,other
DB00100,"['approved', 'investigational']",Coagulation Factor IX (Recombinant),other
DB00102,"['approved', 'investigational']",Becaplermin,other
DB00103,"['approved', 'investigational']",Agalsidase beta,other
DB00104,"['approved', 'investigational']",Octreotide,small molecule
DB00105,['approved'],Interferon alfa-2b,other
DB00106,"['approved', 'investigational', 'withdrawn']",Abarelix,small molecule
DB00107,"['approved', 'vet_approved']",Oxytocin,other
DB00108,"['approved', 'investigational']",Natalizumab,antibody
DB00109,"['approved', 'investigational']",Enfuvirtide,other
DB00110,"['approved', 'investigational']",Palivizumab,antibody
DB00111,"['investigational', 'withdrawn']",Daclizumab,antibody
DB00112,"['approved', 'investigational']",Bevacizumab,antibody
DB00113,['experimental'],Technetium Tc-99m arcitumomab,antibody
DB00114,"['approved', 'investigational', 'nutraceutical']",Pyridoxal phosphate,small molecule
DB00115,"['approved', 'nutraceutical']",Cyanocobalamin,small molecule
DB00116,['nutraceutical'],Tetrahydrofolic acid,small molecule
