accession,db_symbol,db_is_small_molecule_in_clinic,db_is_antibody_in_clinic,db_is_other_in_clinic,db_small_molecule_drugs_in_clinic,db_antibody_drugs_in_clinic,db_other_drugs_in_clinic,db_all_drugs_in_clinic
P00488,F13A1,False,False,True,[],[],"[{'drugbank_id': 'DB11300', 'name': 'Thrombin', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB11311', 'name': 'Prothrombin', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB11571', 'name': 'Human thrombin', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB13151', 'name': 'Anti-inhibitor coagulant complex', 'type': 'other', 'groups': ['approved', 'investigational']}]","[{'drugbank_id': 'DB11300', 'name': 'Thrombin', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB11311', 'name': 'Prothrombin', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB11571', 'name': 'Human thrombin', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB13151', 'name': 'Anti-inhibitor coagulant complex', 'type': 'other', 'groups': ['approved', 'investigational']}]"
P35228,NOS2,True,False,False,"[{'drugbank_id': 'DB08814', 'name': 'Triflusal', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB08814', 'name': 'Triflusal', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
Q13423,NNT,True,False,False,"[{'drugbank_id': 'DB09092', 'name': 'Xanthinol', 'type': 'small molecule', 'groups': ['approved', 'withdrawn']}]",[],[],"[{'drugbank_id': 'DB09092', 'name': 'Xanthinol', 'type': 'small molecule', 'groups': ['approved', 'withdrawn']}]"
P50213,IDH3A,True,False,False,"[{'drugbank_id': 'DB09092', 'name': 'Xanthinol', 'type': 'small molecule', 'groups': ['approved', 'withdrawn']}]",[],[],"[{'drugbank_id': 'DB09092', 'name': 'Xanthinol', 'type': 'small molecule', 'groups': ['approved', 'withdrawn']}]"
Q9P0X4,CACNA1I,True,False,False,"[{'drugbank_id': 'DB00381', 'name': 'Amlodipine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00568', 'name': 'Cinnarizine', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00617', 'name': 'Paramethadione', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00909', 'name': 'Zonisamide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01388', 'name': 'Mibefradil', 'type': 'small molecule', 'groups': ['investigational', 'withdrawn']}, {'drugbank_id': 'DB04841', 'name': 'Flunarizine', 'type': 'small molecule', 'groups': ['approved']}]",[],[],"[{'drugbank_id': 'DB00381', 'name': 'Amlodipine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00568', 'name': 'Cinnarizine', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00617', 'name': 'Paramethadione', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00909', 'name': 'Zonisamide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01388', 'name': 'Mibefradil', 'type': 'small molecule', 'groups': ['investigational', 'withdrawn']}, {'drugbank_id': 'DB04841', 'name': 'Flunarizine', 'type': 'small molecule', 'groups': ['approved']}]"
P30542,ADORA1,True,False,False,"[{'drugbank_id': 'DB00193', 'name': 'Tramadol', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00201', 'name': 'Caffeine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00277', 'name': 'Theophylline', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00640', 'name': 'Adenosine', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00651', 'name': 'Dyphylline', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00806', 'name': 'Pentoxifylline', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01223', 'name': 'Aminophylline', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01303', 'name': 'Oxtriphylline', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01412', 'name': 'Theobromine', 'type': 'small molecule', 'groups': ['investigational']}]",[],[],"[{'drugbank_id': 'DB00193', 'name': 'Tramadol', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00201', 'name': 'Caffeine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00277', 'name': 'Theophylline', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00640', 'name': 'Adenosine', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00651', 'name': 'Dyphylline', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00806', 'name': 'Pentoxifylline', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01223', 'name': 'Aminophylline', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01303', 'name': 'Oxtriphylline', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01412', 'name': 'Theobromine', 'type': 'small molecule', 'groups': ['investigational']}]"
P00519,ABL1,True,False,False,"[{'drugbank_id': 'DB01254', 'name': 'Dasatinib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB04868', 'name': 'Nilotinib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB06616', 'name': 'Bosutinib', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB08896', 'name': 'Regorafenib', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB08901', 'name': 'Ponatinib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB12323', 'name': 'Radotinib', 'type': 'small molecule', 'groups': ['investigational']}]",[],[],"[{'drugbank_id': 'DB01254', 'name': 'Dasatinib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB04868', 'name': 'Nilotinib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB06616', 'name': 'Bosutinib', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB08896', 'name': 'Regorafenib', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB08901', 'name': 'Ponatinib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB12323', 'name': 'Radotinib', 'type': 'small molecule', 'groups': ['investigational']}]"
P12319,FCER1A,True,True,False,"[{'drugbank_id': 'DB00895', 'name': 'Benzylpenicilloyl polylysine', 'type': 'small molecule', 'groups': ['approved']}]","[{'drugbank_id': 'DB00043', 'name': 'Omalizumab', 'type': 'antibody', 'groups': ['approved', 'investigational']}]",[],"[{'drugbank_id': 'DB00043', 'name': 'Omalizumab', 'type': 'antibody', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB00895', 'name': 'Benzylpenicilloyl polylysine', 'type': 'small molecule', 'groups': ['approved']}]"
P00451,F8,False,False,True,[],[],"[{'drugbank_id': 'DB00055', 'name': 'Drotrecogin alfa', 'type': 'other', 'groups': ['approved', 'investigational', 'withdrawn']}, {'drugbank_id': 'DB00100', 'name': 'Coagulation Factor IX (Recombinant)', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB11300', 'name': 'Thrombin', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB11312', 'name': 'Protein C', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB11571', 'name': 'Human thrombin', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB11572', 'name': 'Thrombin alfa', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB12872', 'name': 'Vonicog Alfa', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB13133', 'name': 'Von Willebrand Factor Human', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB13151', 'name': 'Anti-inhibitor coagulant complex', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB13152', 'name': 'Coagulation Factor IX Human', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB13933', 'name': 'Nonacog beta pegol', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB14700', 'name': 'Damoctocog alfa pegol', 'type': 'other', 'groups': ['approved', 'investigational']}]","[{'drugbank_id': 'DB00055', 'name': 'Drotrecogin alfa', 'type': 'other', 'groups': ['approved', 'investigational', 'withdrawn']}, {'drugbank_id': 'DB00100', 'name': 'Coagulation Factor IX (Recombinant)', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB11300', 'name': 'Thrombin', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB11312', 'name': 'Protein C', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB11571', 'name': 'Human thrombin', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB11572', 'name': 'Thrombin alfa', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB12872', 'name': 'Vonicog Alfa', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB13133', 'name': 'Von Willebrand Factor Human', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB13151', 'name': 'Anti-inhibitor coagulant complex', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB13152', 'name': 'Coagulation Factor IX Human', 'type': 'other', 'groups': ['approved']}, {'drugbank_id': 'DB13933', 'name': 'Nonacog beta pegol', 'type': 'other', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB14700', 'name': 'Damoctocog alfa pegol', 'type': 'other', 'groups': ['approved', 'investigational']}]"
P23219,PTGS1,True,False,False,"[{'drugbank_id': 'DB00154', 'name': 'Dihomo-gamma-linolenic acid', 'type': 'small molecule', 'groups': ['investigational', 'nutraceutical']}, {'drugbank_id': 'DB00159', 'name': 'Icosapent', 'type': 'small molecule', 'groups': ['approved', 'nutraceutical']}, {'drugbank_id': 'DB00244', 'name': 'Mesalazine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00316', 'name': 'Acetaminophen', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00586', 'name': 'Diclofenac', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00788', 'name': 'Naproxen', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00795', 'name': 'Sulfasalazine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00812', 'name': 'Phenylbutazone', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00870', 'name': 'Suprofen', 'type': 'small molecule', 'groups': ['approved', 'withdrawn']}, {'drugbank_id': 'DB00936', 'name': 'Salicylic acid', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB00939', 'name': 'Meclofenamic acid', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00945', 'name': 'Acetylsalicylic acid', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00991', 'name': 'Oxaprozin', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01014', 'name': 'Balsalazide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01050', 'name': 'Ibuprofen', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01283', 'name': 'Lumiracoxib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01399', 'name': 'Salsalate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01600', 'name': 'Tiaprofenic acid', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB06725', 'name': 'Lornoxicam', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB06736', 'name': 'Aceclofenac', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB08814', 'name': 'Triflusal', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB09212', 'name': 'Loxoprofen', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB09215', 'name': 'Droxicam', 'type': 'small molecule', 'groups': ['withdrawn']}, {'drugbank_id': 'DB09216', 'name': 'Tolfenamic acid', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB11079', 'name': 'Trolamine salicylate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB11201', 'name': 'Menthyl salicylate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB11323', 'name': 'Glycol salicylate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB13346', 'name': 'Bufexamac', 'type': 'small molecule', 'groups': ['approved', 'withdrawn']}, {'drugbank_id': 'DB13783', 'name': 'Acemetacin', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]",[],[],"[{'drugbank_id': 'DB00154', 'name': 'Dihomo-gamma-linolenic acid', 'type': 'small molecule', 'groups': ['investigational', 'nutraceutical']}, {'drugbank_id': 'DB00159', 'name': 'Icosapent', 'type': 'small molecule', 'groups': ['approved', 'nutraceutical']}, {'drugbank_id': 'DB00244', 'name': 'Mesalazine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00316', 'name': 'Acetaminophen', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00586', 'name': 'Diclofenac', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00788', 'name': 'Naproxen', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00795', 'name': 'Sulfasalazine', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB00812', 'name': 'Phenylbutazone', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00870', 'name': 'Suprofen', 'type': 'small molecule', 'groups': ['approved', 'withdrawn']}, {'drugbank_id': 'DB00936', 'name': 'Salicylic acid', 'type': 'small molecule', 'groups': ['approved', 'investigational', 'vet_approved']}, {'drugbank_id': 'DB00939', 'name': 'Meclofenamic acid', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00945', 'name': 'Acetylsalicylic acid', 'type': 'small molecule', 'groups': ['approved', 'vet_approved']}, {'drugbank_id': 'DB00991', 'name': 'Oxaprozin', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01014', 'name': 'Balsalazide', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01050', 'name': 'Ibuprofen', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01283', 'name': 'Lumiracoxib', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB01397', 'name': 'Magnesium salicylate', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB01399', 'name': 'Salsalate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB01600', 'name': 'Tiaprofenic acid', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB06725', 'name': 'Lornoxicam', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB06736', 'name': 'Aceclofenac', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB08814', 'name': 'Triflusal', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB09212', 'name': 'Loxoprofen', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB09215', 'name': 'Droxicam', 'type': 'small molecule', 'groups': ['withdrawn']}, {'drugbank_id': 'DB09216', 'name': 'Tolfenamic acid', 'type': 'small molecule', 'groups': ['approved', 'investigational']}, {'drugbank_id': 'DB09288', 'name': 'Propacetamol', 'type': 'small molecule', 'groups': ['experimental']}, {'drugbank_id': 'DB11079', 'name': 'Trolamine salicylate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB11201', 'name': 'Menthyl salicylate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB11323', 'name': 'Glycol salicylate', 'type': 'small molecule', 'groups': ['approved']}, {'drugbank_id': 'DB13346', 'name': 'Bufexamac', 'type': 'small molecule', 'groups': ['approved', 'withdrawn']}, {'drugbank_id': 'DB13783', 'name': 'Acemetacin', 'type': 'small molecule', 'groups': ['approved', 'investigational']}]"
